                           TxHash                                 TxIx        Amount
--------------------------------------------------------------------------------------
00c54994e4f4121eac87d8212786a781e9712bf020e71dd408f1ad3a58beaafe     0        3000000 lovelace + 1 457e3c3add4b26bb4b80f6ca55f0bfb03193c5f070b6a8acc0202e0d.44524950745f69555344745f54656464795f4e6674 + 9223372036844223769 d78eafb25e1d4434be107b4d20809aaf4c6f0272a8d1916b4aeefc81.44524950745f69555344745f54656464795f4c71 + 390989905546 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.4452495074 + 715064129886 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.6955534474 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "E~<:\221K&\187K\128\246\202U\240\191\176\&1\147\197\240p\182\168\172\192 .\r",ScriptDataBytes "DRIPt_iUSDt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "DRIPt"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "iUSDt"],ScriptDataConstructor 0 [ScriptDataBytes "\215\142\175\178^\GSD4\190\DLE{M \128\154\175Lo\STXr\168\209\145kJ\238\252\129",ScriptDataBytes "DRIPt_iUSDt_Teddy_Lq"],ScriptDataNumber 995])
090ef831bdb4562f07e272174b9979b88c962053ca9cb539b0faab483305cbff     0        3000000 lovelace + 9223372036844068082 0872ff5c371f2acea4932eea1027bab37f058dc146da97f26cbfee28.575254745f69555344745f54656464795f4c71 + 1 ca18da8fa7a3ae42d7d7bd1994ec16b7bb63173509230e8a44d9817b.575254745f69555344745f54656464795f4e6674 + 370138674170 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.57525474 + 778544016098 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.6955534474 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "\202\CAN\218\143\167\163\174B\215\215\189\EM\148\236\SYN\183\187c\ETB5\t#\SO\138D\217\129{",ScriptDataBytes "WRTt_iUSDt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "WRTt"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "iUSDt"],ScriptDataConstructor 0 [ScriptDataBytes "\br\255\\7\US*\206\164\147.\234\DLE'\186\179\DEL\ENQ\141\193F\218\151\242l\191\238(",ScriptDataBytes "WRTt_iUSDt_Teddy_Lq"],ScriptDataNumber 995])
0de9510942c8a3269d53a8b1573e1c63440509672df19732001cebdd86063197     0        1793886343288 lovelace + 9223372007800724252 a4db1b5937a71ee33934f2f1371c9ef54fdedcf2cfab44a17eddcfab.54454459745f54656464795f4c71 + 1 b3b9419d7008683d66a7a491cff083b1e076a3d53ea1a7e236330f12.54454459745f54656464795f4e6674 + 2655679298581 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.5445445974 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "\179\185A\157p\bh=f\167\164\145\207\240\131\177\224v\163\213>\161\167\226\&63\SI\DC2",ScriptDataBytes "TEDYt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "TEDYt"],ScriptDataConstructor 0 [ScriptDataBytes "",ScriptDataBytes ""],ScriptDataConstructor 0 [ScriptDataBytes "\164\219\ESCY7\167\RS\227\&94\242\241\&7\FS\158\245O\222\220\242\207\171D\161~\221\207\171",ScriptDataBytes "TEDYt_Teddy_Lq"],ScriptDataNumber 995])
19c83363f0291bbf0b3e62e2948b527e94ec0a2df5b4e2a51de85d1158632b7a     0        15000000 lovelace + TxOutDatumNone
1a32a6fe1a42cc396890db65d156ae52ad15a93866891a9c166412f4213b1c0e     0        940847945733 lovelace + 9223370391955348713 26ec2ffada20244af2b8d1131c330748c4f62fd2c9071b60bb593847.69555344745f54656464795f4c71 + 1 8cc778e031ea3b7e9246441a5564c3aa55fe222612d20084b511cb26.69555344745f54656464795f4e6674 + 31016984777881 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.6955534474 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "\140\199x\224\&1\234;~\146FD\SUBUd\195\170U\254\"&\DC2\210\NUL\132\181\DC1\203&",ScriptDataBytes "iUSDt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "iUSDt"],ScriptDataConstructor 0 [ScriptDataBytes "",ScriptDataBytes ""],ScriptDataConstructor 0 [ScriptDataBytes "&\236/\250\218 $J\242\184\209\DC3\FS3\aH\196\246/\210\201\a\ESC`\187Y8G",ScriptDataBytes "iUSDt_Teddy_Lq"],ScriptDataNumber 995])
229914465457d26d78898a2b144a0171d3caf7e43ccbe89155bdf1b08b66082f     0        3000000 lovelace + 9223372036844108531 64a3df618b4ce4516572731c4890e574b17adf253b5e8a219e28bd51.494e4459745f69555344745f54656464795f4c71 + 1 c1ff7912191c9b1566a90bfd74cfdb4cf9dbd463136e8b9d09938f4d.494e4459745f69555344745f54656464795f4e6674 + 342966296549 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.494e445974 + 834153785014 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.6955534474 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "\193\255y\DC2\EM\FS\155\NAKf\169\v\253t\207\219L\249\219\212c\DC3n\139\157\t\147\143M",ScriptDataBytes "INDYt_iUSDt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "INDYt"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "iUSDt"],ScriptDataConstructor 0 [ScriptDataBytes "d\163\223a\139L\228Qers\FSH\144\229t\177z\223%;^\138!\158(\189Q",ScriptDataBytes "INDYt_iUSDt_Teddy_Lq"],ScriptDataNumber 995])
2969824e477129be425ecbf5e270ae2d8951248efb34428fc2e5d09958075f9b     0        3000000 lovelace + 9223372036844210066 1bdfba01a047492c2f9a3a9b8e3459526b97d7712990c31fd2d3639a.434c4159745f69555344745f54656464795f4c71 + 1 657487ee0cca3a2a17a3145fd7c2e871364c40eeec1e1ac46c91af5a.434c4159745f69555344745f54656464795f4e6674 + 402316954323 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.434c415974 + 696737627720 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.6955534474 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "et\135\238\f\202:*\ETB\163\DC4_\215\194\232q6L@\238\236\RS\SUB\196l\145\175Z",ScriptDataBytes "CLAYt_iUSDt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "CLAYt"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "iUSDt"],ScriptDataConstructor 0 [ScriptDataBytes "\ESC\223\186\SOH\160GI,/\154:\155\142\&4YRk\151\215q)\144\195\US\210\211c\154",ScriptDataBytes "CLAYt_iUSDt_Teddy_Lq"],ScriptDataNumber 995])
29b5eba0a8b812026f98aad2949c799d8e909502e420d357e802548f2eb3c7de     0        3000000 lovelace + 9223372036842039723 3816d7c0628fe637ed1c0a05e005a8e59f3a9b137bea43c94d70073c.444a4544745f69555344745f54656464795f4c71 + 1 a74d80d656f4c889d70bb55d50a67c2eb9cb7865dcf61da8bcf4cf69.444a4544745f69555344745f54656464795f4e6674 + 254275741080 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.444a454474 + 6526931539687 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.6955534474 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "\167M\128\214V\244\200\137\215\v\181]P\166|.\185\203xe\220\246\GS\168\188\244\207i",ScriptDataBytes "DJEDt_iUSDt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "DJEDt"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "iUSDt"],ScriptDataConstructor 0 [ScriptDataBytes "8\SYN\215\192b\143\230\&7\237\FS\n\ENQ\224\ENQ\168\229\159:\155\DC3{\234C\201Mp\a<",ScriptDataBytes "DJEDt_iUSDt_Teddy_Lq"],ScriptDataNumber 995])
30c062b3c269e93670dfd5a58795f49fecef50d66a6e9837b245d32893e24d68     0        3000000 lovelace + 9223372015988458993 44e137e0fbd1e7845b2e3faf5fdc541e21e832e674cc3ec74af05350.54454459745f484f534b59745f54656464795f4c71 + 1 c3782cf18e41376e13640f57a8d94375febdfaede0941ea978ec3e2f.54454459745f484f534b59745f54656464795f4e6674 + 25854310468792 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.484f534b5974 + 16872324307839 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.5445445974 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "\195x,\241\142A7n\DC3d\SIW\168\217Cu\254\189\250\237\224\148\RS\169x\236>/",ScriptDataBytes "TEDYt_HOSKYt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "TEDYt"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "HOSKYt"],ScriptDataConstructor 0 [ScriptDataBytes "D\225\&7\224\251\209\231\132[.?\175_\220T\RS!\232\&2\230t\204>\199J\240SP",ScriptDataBytes "TEDYt_HOSKYt_Teddy_Lq"],ScriptDataNumber 995])
397cbd9c9c51524573ca91d220247750d21b407363b80b84f07f55a685b2a909     0        3000000 lovelace + 9223372036844167785 5bf63ad4eb362af4e3c178e9aa6efb8e07d7c8d8586fa0df0065879c.47454e53745f69555344745f54656464795f4c71 + 1 a55ed38c7bc09280fda1246959fc68dfe7555020fb184304db1edc3f.47454e53745f69555344745f54656464795f4e6674 + 350195557439 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.47454e5374 + 807705793308 f06f00c9705dee9cdeaa6851c492613224fb3e0b4217ca4ea1bc0962.6955534474 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [ScriptDataConstructor 0 [ScriptDataBytes "\165^\211\140{\192\146\128\253\161$iY\252h\223\231UP \251\CANC\EOT\219\RS\220?",ScriptDataBytes "GENSt_iUSDt_Teddy_Nft"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "GENSt"],ScriptDataConstructor 0 [ScriptDataBytes "\240o\NUL\201p]\238\156\222\170hQ\196\146a2$\251>\vB\ETB\202N\161\188\tb",ScriptDataBytes "iUSDt"],ScriptDataConstructor 0 [ScriptDataBytes "[\246:\212\235\&6*\244\227\193x\233\170n\251\142\a\215\200\216Xo\160\223\NULe\135\156",ScriptDataBytes "GENSt_iUSDt_Teddy_Lq"],ScriptDataNumber 995])
